COD_BARRAS,DESCRICAO,ESFERIC,CILIND,ADICAO,OLHO
5258968659,Lente Vis Simples 1.50 c/A.R.,"-1,75","-2,50","0,00",
5258968667,Lente Vis Simples 1.50 c/A.R.,"-2,00","-2,50","0,00",
5258968675,Lente Vis Simples 1.50 c/A.R.,"-2,25","-2,50","0,00",
5258968683,Lente Vis Simples 1.50 c/A.R.,"-2,50","-2,50","0,00",
5258968691,Lente Vis Simples 1.50 c/A.R.,"-2,75","-2,50","0,00",
5258968709,Lente Vis Simples 1.50 c/A.R.,"-3,00","-2,50","0,00",
5258968717,Lente Vis Simples 1.50 c/A.R.,"-3,25","-2,50","0,00",
5258968725,Lente Vis Simples 1.50 c/A.R.,"-3,50","-2,50","0,00",
5258968733,Lente Vis Simples 1.50 c/A.R.,"-3,75","-2,50","0,00",
5258968741,Lente Vis Simples 1.50 c/A.R.,"-4,00","-2,50","0,00",
5258967099,Lente Vis Simples 1.50 c/A.R.,"0,00","-2,75","0,00",
5258968758,Lente Vis Simples 1.50 c/A.R.,"-0,25","-2,75","0,00",
5258968766,Lente Vis Simples 1.50 c/A.R.,"-0,50","-2,75","0,00",
5258968774,Lente Vis Simples 1.50 c/A.R.,"-0,75","-2,75","0,00",
5258968782,Lente Vis Simples 1.50 c/A.R.,"-1,00","-2,75","0,00",
5258968790,Lente Vis Simples 1.50 c/A.R.,"-1,25","-2,75","0,00",
5258968808,Lente Vis Simples 1.50 c/A.R.,"-1,50","-2,75","0,00",
5258968816,Lente Vis Simples 1.50 c/A.R.,"-1,75","-2,75","0,00",
5258968824,Lente Vis Simples 1.50 c/A.R.,"-2,00","-2,75","0,00",
5258968832,Lente Vis Simples 1.50 c/A.R.,"-2,25","-2,75","0,00",
5258968840,Lente Vis Simples 1.50 c/A.R.,"-2,50","-2,75","0,00",
5258968857,Lente Vis Simples 1.50 c/A.R.,"-2,75","-2,75","0,00",
5258968865,Lente Vis Simples 1.50 c/A.R.,"-3,00","-2,75","0,00",
5258968873,Lente Vis Simples 1.50 c/A.R.,"-3,25","-2,75","0,00",
5258968881,Lente Vis Simples 1.50 c/A.R.,"-3,50","-2,75","0,00",
5258968899,Lente Vis Simples 1.50 c/A.R.,"-3,75","-2,75","0,00",
5258968907,Lente Vis Simples 1.50 c/A.R.,"-4,00","-2,75","0,00",
5258967107,Lente Vis Simples 1.50 c/A.R.,"0,00","-3,00","0,00",
5258968915,Lente Vis Simples 1.50 c/A.R.,"-0,25","-3,00","0,00",
5258968923,Lente Vis Simples 1.50 c/A.R.,"-0,50","-3,00","0,00",
5258968931,Lente Vis Simples 1.50 c/A.R.,"-0,75","-3,00","0,00",
5258968949,Lente Vis Simples 1.50 c/A.R.,"-1,00","-3,00","0,00",
5258968956,Lente Vis Simples 1.50 c/A.R.,"-1,25","-3,00","0,00",
5258968964,Lente Vis Simples 1.50 c/A.R.,"-1,50","-3,00","0,00",
5258968972,Lente Vis Simples 1.50 c/A.R.,"-1,75","-3,00","0,00",
5258968980,Lente Vis Simples 1.50 c/A.R.,"-2,00","-3,00","0,00",
5258968998,Lente Vis Simples 1.50 c/A.R.,"-2,25","-3,00","0,00",
5258969004,Lente Vis Simples 1.50 c/A.R.,"-2,50","-3,00","0,00",
5258969012,Lente Vis Simples 1.50 c/A.R.,"-2,75","-3,00","0,00",
5258969020,Lente Vis Simples 1.50 c/A.R.,"-3,00","-3,00","0,00",
5258969038,Lente Vis Simples 1.50 c/A.R.,"-3,25","-3,00","0,00",
5258969046,Lente Vis Simples 1.50 c/A.R.,"-3,50","-3,00","0,00",
5258969053,Lente Vis Simples 1.50 c/A.R.,"-3,75","-3,00","0,00",
5258969061,Lente Vis Simples 1.50 c/A.R.,"-4,00","-3,00","0,00",
5258967115,Lente Vis Simples 1.50 c/A.R.,"0,00","-3,25","0,00",
5258969079,Lente Vis Simples 1.50 c/A.R.,"-0,25","-3,25","0,00",
5258969087,Lente Vis Simples 1.50 c/A.R.,"-0,50","-3,25","0,00",
5258969095,Lente Vis Simples 1.50 c/A.R.,"-0,75","-3,25","0,00",
5258969103,Lente Vis Simples 1.50 c/A.R.,"-1,00","-3,25","0,00",
5258969111,Lente Vis Simples 1.50 c/A.R.,"-1,25","-3,25","0,00",
5258969129,Lente Vis Simples 1.50 c/A.R.,"-1,50","-3,25","0,00",
5258969137,Lente Vis Simples 1.50 c/A.R.,"-1,75","-3,25","0,00",
5258969145,Lente Vis Simples 1.50 c/A.R.,"-2,00","-3,25","0,00",
5258969152,Lente Vis Simples 1.50 c/A.R.,"-2,25","-3,25","0,00",
5258969160,Lente Vis Simples 1.50 c/A.R.,"-2,50","-3,25","0,00",
5258969178,Lente Vis Simples 1.50 c/A.R.,"-2,75","-3,25","0,00",
5258969186,Lente Vis Simples 1.50 c/A.R.,"-3,00","-3,25","0,00",
5258969194,Lente Vis Simples 1.50 c/A.R.,"-3,25","-3,25","0,00",
5258969202,Lente Vis Simples 1.50 c/A.R.,"-3,50","-3,25","0,00",
5258969210,Lente Vis Simples 1.50 c/A.R.,"-3,75","-3,25","0,00",
5258969228,Lente Vis Simples 1.50 c/A.R.,"-4,00","-3,25","0,00",
5258967123,Lente Vis Simples 1.50 c/A.R.,"0,00","-3,50","0,00",
5258969236,Lente Vis Simples 1.50 c/A.R.,"-0,25","-3,50","0,00",
5258969244,Lente Vis Simples 1.50 c/A.R.,"-0,50","-3,50","0,00",
5258969251,Lente Vis Simples 1.50 c/A.R.,"-0,75","-3,50","0,00",
5258969269,Lente Vis Simples 1.50 c/A.R.,"-1,00","-3,50","0,00",
5258969277,Lente Vis Simples 1.50 c/A.R.,"-1,25","-3,50","0,00",
5258969285,Lente Vis Simples 1.50 c/A.R.,"-1,50","-3,50","0,00",
5258969293,Lente Vis Simples 1.50 c/A.R.,"-1,75","-3,50","0,00",
5258969301,Lente Vis Simples 1.50 c/A.R.,"-2,00","-3,50","0,00",
5258969319,Lente Vis Simples 1.50 c/A.R.,"-2,25","-3,50","0,00",
5258969327,Lente Vis Simples 1.50 c/A.R.,"-2,50","-3,50","0,00",
5258969335,Lente Vis Simples 1.50 c/A.R.,"-2,75","-3,50","0,00",
5258969343,Lente Vis Simples 1.50 c/A.R.,"-3,00","-3,50","0,00",
5258969350,Lente Vis Simples 1.50 c/A.R.,"-3,25","-3,50","0,00",
5258969368,Lente Vis Simples 1.50 c/A.R.,"-3,50","-3,50","0,00",
